Entity,Year,Total number of international immigrants
Afghanistan,1990,57686
Afghanistan,1995,71522
Afghanistan,2000,75917
Afghanistan,2005,87314
Afghanistan,2010,102276
Afghanistan,2015,339432
Afghanistan,2020,144098
Afghanistan,2024,98110
Africa,1990,16176915
Africa,1995,16653698
Africa,2000,15413140
Africa,2005,16602802
Africa,2010,17752216
Africa,2015,22683929
Africa,2020,25267356
Africa,2024,29180440
Albania,1990,66013
Albania,1995,71354
Albania,2000,76695
Albania,2005,64739
Albania,2010,52784
Albania,2015,52031
Albania,2020,48810
Albania,2024,46377
Algeria,1990,273954
Algeria,1995,262032
Algeria,2000,250110
Algeria,2005,197728
Algeria,2010,217268
Algeria,2015,239473
Algeria,2020,250378
Algeria,2024,259458
American Samoa,1990,21283
American Samoa,1995,23098
American Samoa,2000,24912
American Samoa,2005,24233
American Samoa,2010,23555
American Samoa,2015,23513
American Samoa,2020,23608
American Samoa,2024,23684
Andorra,1990,38891
Andorra,1995,44206
Andorra,2000,42147
Andorra,2005,50298
Andorra,2010,52053
Andorra,2015,42264
Andorra,2020,45574
Andorra,2024,48408
Angola,1990,33517
Angola,1995,39813
Angola,2000,46108
Angola,2005,62331
Angola,2010,336367
Angola,2015,632178
Angola,2020,656434
Angola,2024,676507
Anguilla,1990,2570
Anguilla,1995,3317
Anguilla,2000,4063
Anguilla,2005,4684
Anguilla,2010,5103
Anguilla,2015,5471
Anguilla,2020,5715
Anguilla,2024,5918
Antigua and Barbuda,1990,12029
Antigua and Barbuda,1995,17550
Antigua and Barbuda,2000,23071
Antigua and Barbuda,2005,24741
Antigua and Barbuda,2010,26412
Antigua and Barbuda,2015,28082
Antigua and Barbuda,2020,29386
Antigua and Barbuda,2024,30473
Argentina,1990,1647935
Argentina,1995,1589660
Argentina,2000,1543851
Argentina,2005,1641560
Argentina,2010,1799680
Argentina,2015,1856613
Argentina,2020,1912294
Argentina,2024,1958039
Armenia,1990,433541
Armenia,1995,622042
Armenia,2000,588242
Armenia,2005,476812
Armenia,2010,210873
Armenia,2015,190896
Armenia,2020,207139
Armenia,2024,274645
Aruba,1990,14444
Aruba,1995,22274
Aruba,2000,30104
Aruba,2005,32540
Aruba,2010,34328
Aruba,2015,36114
Aruba,2020,53593
Aruba,2024,73494
Asia,1990,46657270
Asia,1995,44779342
Asia,2000,47568162
Asia,2005,51457579
Asia,2010,64151786
Asia,2015,78173152
Asia,2020,84474238
Asia,2024,91968240
Australia,1990,3991501
Australia,1995,4215646
Australia,2000,4389847
Australia,2005,4880921
Australia,2010,5879802
Australia,2015,6733056
Australia,2020,7604850
Australia,2024,8111404
Austria,1990,633753
Austria,1995,764758
Austria,2000,920045
Austria,2005,1174101
Austria,2010,1285706
Austria,2015,1540486
Austria,2020,1781046
Austria,2024,2327064
Azerbaijan,1990,402177
Azerbaijan,1995,588812
Azerbaijan,2000,523518
Azerbaijan,2005,301922
Azerbaijan,2010,251417
Azerbaijan,2015,224337
Azerbaijan,2020,198894
Azerbaijan,2024,218460
Bahamas,1990,26855
Bahamas,1995,31654
Bahamas,2000,36454
